date,title,authority,note,sources
2026-10-07,Monetary Policy Committee decision,CBK,"The CBK decides the Central Bank Rate, held at 8.75% on 11 August.",Central Bank of Kenya | https://www.centralbank.go.ke/2026/09/07/next-mpc-meeting-5/
2026-12-31,Tax amnesty closes,KRA,Penalties and interest are waived on principal tax paid by 31 December.,Kenyans.co.ke | https://www.kenyans.co.ke/news/126886-kra-directs-kenyans-file-tax-returns-april-30-2027; Dawan Africa | https://www.dawan.africa/news/kra-introduces-new-tax-amnesty-as-finance-act-2026-revises-filing-deadlines
2027-01-31,Nil returns due,KRA,"The new deadline for nil filers, starting with the 2026 year of income.",Kenyans.co.ke | https://www.kenyans.co.ke/news/126886-kra-directs-kenyans-file-tax-returns-april-30-2027
2027-04-30,PAYE-only returns due,KRA,"The new deadline for PAYE-only taxpayers, starting with the 2026 year of income.",Kenyans.co.ke | https://www.kenyans.co.ke/news/126886-kra-directs-kenyans-file-tax-returns-april-30-2027
2028-12,AGOA extension runs out,,The extension keeps duty-free access to the US for Kenyan apparel until December 2028.,Kenya News Agency | https://www.kenyanews.go.ke/?p=181226
